"OrderID,Date,Category,Quantity,UnitPrice,Region,UserID"
"ORD-1053,07.06.2025,Дім і сад,1,2300.00,Львівська обл.,USR-104"
"ORD-1054,10.06.2025,Електроніка,2,4100.00,Дніпропетровська обл.,USR-701"
"ORD-1055,13.06.2025,Косметика,3,620.00,Київська обл.,USR-441"
"ORD-1056,16.06.2025,Одяг,1,3800.00,Одеська обл.,USR-805"
"ORD-1057,19.06.2025,Спорт,4,950.00,Хмельницька обл.,USR-604"
"ORD-1058,22.06.2025,Дім і сад,2,1850.00,Київська обл.,USR-582"
"ORD-1059,25.06.2025,Електроніка,1,11000.00,Чернігівська обл.,USR-994"
"ORD-1060,28.06.2025,Дитячі товари,3,450.00,Полтавська обл.,USR-118"
"ORD-1061,01.07.2025,Косметика,2,800.00,Львівська обл.,USR-139"
"ORD-1062,04.07.2025,Одяг,1,5200.00,Київська обл.,USR-284"
"ORD-1063,07.07.2025,Дім і сад,5,310.00,Дніпропетровська обл.,USR-741"
"ORD-1064,10.07.2025,Електроніка,1,45000.00,Одеська обл.,USR-319"
"ORD-1065,13.07.2025,Спорт,2,3400.00,Київська обл.,USR-903"
"ORD-1066,16.07.2025,Дитячі товари,1,1650.00,Вінницька обл.,USR-412"
"ORD-1067,19.07.2025,Одяг,3,890.00,Харківська обл.,USR-225"
"ORD-1068,22.07.2025,Косметика,4,210.00,Запорізька обл.,USR-870"
"ORD-1069,25.07.2025,Електроніка,1,16000.00,Львівська обл.,USR-104"
"ORD-1070,28.07.2025,Дім і сад,2,2400.00,Житомирська обл.,USR-336"
"ORD-1071,31.07.2025,Спорт,1,7800.00,Київська обл.,USR-654"
"ORD-1072,03.08.2025,Одяг,2,1450.00,Сумська обл.,USR-157"
"ORD-1073,06.08.2025,Косметика,1,1350.00,Дніпропетровська обл.,USR-701"
"ORD-1074,09.08.2025,Електроніка,1,21000.00,Закарпатська обл.,USR-490"
"ORD-1075,12.08.2025,Дитячі товари,4,520.00,Київська обл.,USR-441"
"ORD-1076,15.08.2025,Дім і сад,1,9200.00,Миколаївська обл.,USR-211"
"ORD-1077,18.08.2025,Одяг,3,1100.00,Чернівецька обл.,USR-755"
"ORD-1078,21.08.2025,Спорт,1,4600.00,Одеська обл.,USR-805"
"ORD-1079,24.08.2025,Електроніка,2,5800.00,Київська обл.,USR-582"
"ORD-1080,27.08.2025,Косметика,2,420.00,Рівненська обл.,USR-820"
"ORD-1081,30.08.2025,Дитячі товари,1,2100.00,Львівська обл.,USR-139"
"ORD-1082,02.09.2025,Дім і сад,3,1150.00,Волинська обл.,USR-169"
"ORD-1083,05.09.2025,Одяг,1,2900.00,Київська обл.,USR-903"
"ORD-1084,08.09.2025,Електроніка,1,31500.00,Тернопільська обл.,USR-303"
"ORD-1085,11.09.2025,Косметика,5,180.00,Черкаська обл.,USR-912"
"ORD-1086,14.09.2025,Спорт,2,1900.00,Дніпропетровська обл.,USR-741"
"ORD-1087,17.09.2025,Дитячі товари,3,720.00,Кіровоградська обл.,USR-550"
"ORD-1088,20.09.2025,Дім і сад,1,6400.00,Київська обл.,USR-284"
"ORD-1089,23.09.2025,Одяг,4,850.00,Полтавська обл.,USR-118"
"ORD-1090,26.09.2025,Електроніка,1,14000.00,Харківська обл.,USR-225"
"ORD-1091,29.09.2025,Косметика,2,950.00,Одеська обл.,USR-319"
"ORD-1092,02.10.2025,Спорт,1,12500.00,Львівська обл.,USR-104"
"ORD-1093,05.10.2025,Дитячі товари,2,1300.00,Київська обл.,USR-654"
"ORD-1094,08.10.2025,Дім і сад,1,4800.00,Сумська обл.,USR-157"
"ORD-1095,11.10.2025,Електроніка,3,920.00,Вінницька обл.,USR-412"
"ORD-1096,14.10.2025,Одяг,1,6700.00,Дніпропетровська обл.,USR-701"
"ORD-1097,17.10.2025,Косметика,4,310.00,Київська обл.,USR-441"
"ORD-1098,20.10.2025,Спорт,2,2450.00,Львівська обл.,USR-139"
"ORD-1099,23.10.2025,Дитячі товари,1,3200.00,Одеська обл.,USR-805"
"ORD-1100,26.10.2025,Дім і сад,2,1600.00,Київська обл.,USR-582"
